episode,total_reward,win,epsilon,steps
632,-0.78,0,0.944,11
633,-0.61,0,0.944,7
634,-0.57,0,0.944,7
635,-0.68,0,0.944,12
636,-0.56,0,0.944,13
637,-0.76,0,0.943,18
638,-0.56,0,0.943,6
639,-0.73,0,0.943,15
640,-0.56,0,0.943,3
641,-0.67,0,0.943,15
642,-0.56,0,0.943,9
643,-0.72,0,0.943,17
644,0.79,0,0.943,12
645,-0.78,0,0.943,21
646,-0.59,0,0.943,10
647,0.85,1,0.942,18
648,-0.6,0,0.942,10
649,-0.59,0,0.942,10
650,-0.78,0,0.942,18
651,-0.68,0,0.942,13
652,-0.53,0,0.942,12
653,-1.1,0,0.942,29
654,-0.82,0,0.942,20
655,-0.66,0,0.941,7
656,-0.78,0,0.941,13
657,-0.49,0,0.941,8
658,0.98,1,0.941,13
659,-0.66,0,0.941,9
660,-0.77,0,0.941,17
661,-0.59,0,0.941,9
662,-0.69,0,0.941,12
663,-0.72,0,0.941,12
664,-0.7,0,0.941,11
665,-0.58,0,0.941,7
666,-0.59,0,0.941,9
667,-0.75,0,0.94,13
668,-0.61,0,0.94,3
669,-0.61,0,0.94,6
670,0.56,0,0.94,27
671,-0.62,0,0.94,10
672,-0.59,0,0.94,7
673,-0.61,0,0.94,9
674,-0.64,0,0.94,11
675,-0.63,0,0.94,21
676,-0.61,0,0.94,6
677,0.89,1,0.94,12
678,-0.82,0,0.939,9
679,-0.71,0,0.939,13
680,-0.62,0,0.939,6
681,-1.12,0,0.939,24
682,-0.56,0,0.939,4
683,-0.49,0,0.939,3
684,-0.59,0,0.939,16
685,-0.58,0,0.939,7
686,-0.5,0,0.939,5
687,-0.52,0,0.939,5
688,-0.59,0,0.939,10
689,-0.62,0,0.939,5
690,-0.65,0,0.939,11
691,-0.9,0,0.938,18
692,-0.52,0,0.938,13
693,0.98,1,0.938,6
694,-0.61,0,0.938,9
695,-0.55,0,0.938,11
696,-0.72,0,0.938,11
697,-0.56,0,0.938,13
698,0.94,1,0.938,3
699,0.95,1,0.938,4
700,-0.51,0,0.938,4
701,-0.51,0,0.938,6
702,-0.55,0,0.938,5
703,0.79,0,0.938,20
704,-0.63,0,0.938,9
705,0.96,1,0.938,3
706,-0.61,0,0.937,9
707,-0.5,0,0.937,5
708,-0.83,0,0.937,14
709,-0.53,0,0.937,10
710,-0.67,0,0.937,6
711,-0.67,0,0.937,11
712,-0.66,0,0.937,10
713,-0.7,0,0.937,15
714,-0.66,0,0.937,21
715,0.67,0,0.937,13
716,0.93,1,0.937,16
717,-0.52,0,0.936,6
718,-0.63,0,0.936,10
719,-0.62,0,0.936,9
720,-0.65,0,0.936,15
721,-0.57,0,0.936,15
722,-0.61,0,0.936,11
723,-0.51,0,0.936,14
724,-0.82,0,0.936,21
725,-0.78,0,0.936,15
726,-0.8,0,0.935,18
727,-0.58,0,0.935,7
728,-0.58,0,0.935,7
729,-0.59,0,0.935,9
730,-0.73,0,0.935,12
731,-0.55,0,0.935,8
732,0.69,0,0.935,21
733,-0.64,0,0.935,8
734,-0.76,0,0.935,20
735,0.92,1,0.935,5
736,-0.51,0,0.935,5
737,-0.62,0,0.935,11
738,-0.66,0,0.934,9
739,-0.5,0,0.934,3
740,-0.57,0,0.934,5
741,-0.61,0,0.934,13
742,0.93,1,0.934,8
743,-0.66,0,0.934,13
744,-0.59,0,0.934,11
745,-0.66,0,0.934,6
746,-0.69,0,0.934,11
747,-0.75,0,0.934,22
748,0.94,1,0.934,7
749,-0.54,0,0.934,10
750,-0.55,0,0.934,6
751,-0.61,0,0.933,9
752,-0.71,0,0.933,16
753,-0.63,0,0.933,13
754,-0.84,0,0.933,16
755,-0.75,0,0.933,16
756,-0.57,0,0.933,16
757,-0.61,0,0.933,10
758,-0.66,0,0.933,18
759,-0.81,0,0.933,12
760,0.68,0,0.932,20
761,-0.57,0,0.932,12
762,-0.82,0,0.932,20
763,-0.67,0,0.932,8
764,-0.71,0,0.932,19
765,-0.55,0,0.932,8
766,-0.65,0,0.932,14
767,-0.7,0,0.932,11
768,-0.63,0,0.932,5
769,-0.55,0,0.932,5
770,-0.72,0,0.932,15
771,-0.57,0,0.931,5
772,-0.67,0,0.931,12
773,-0.68,0,0.931,7
774,-0.55,0,0.931,18
775,0.92,1,0.931,7
776,-0.62,0,0.931,14
777,0.86,1,0.931,7
778,-0.72,0,0.931,9
779,0.98,1,0.931,4
780,-0.63,0,0.931,8
781,-0.6,0,0.931,8
782,0.88,1,0.931,25
783,-0.57,0,0.93,6
784,-0.54,0,0.93,5
785,-0.5,0,0.93,5
786,-0.7,0,0.93,9
787,-0.6,0,0.93,8
788,-0.65,0,0.93,11
789,-0.64,0,0.93,12
790,-0.64,0,0.93,5
791,-0.59,0,0.93,13
792,-1.26,0,0.93,26
793,-0.71,0,0.93,18
794,-0.61,0,0.93,5
795,-0.7,0,0.929,14
796,-0.58,0,0.929,15
797,-0.64,0,0.929,8
798,-0.74,0,0.929,11
799,-0.62,0,0.929,10
800,-0.68,0,0.929,8
801,-0.76,0,0.929,30
802,-0.65,0,0.929,12
803,-0.55,0,0.929,10
804,-0.8,0,0.929,11
805,-0.77,0,0.928,13
806,-0.84,0,0.928,21
807,-0.62,0,0.928,8
808,-0.62,0,0.928,6
809,-0.62,0,0.928,10
810,-0.7,0,0.928,20
811,-0.6,0,0.928,8
812,-0.63,0,0.928,11
813,0.93,1,0.928,8
814,-0.55,0,0.928,4
815,0.91,1,0.928,4
816,-0.61,0,0.928,13
817,-0.52,0,0.927,6
818,-0.54,0,0.927,10
819,-0.55,0,0.927,6
820,-0.67,0,0.927,15
821,-0.59,0,0.927,7
822,-0.56,0,0.927,6
823,-0.56,0,0.927,11
824,-0.75,0,0.927,11
825,-0.53,0,0.927,7
826,-0.81,0,0.927,19
827,-0.56,0,0.927,5
828,-0.61,0,0.927,6
829,-0.63,0,0.927,9
830,-0.66,0,0.927,11
831,0.9,1,0.926,8
832,-0.5,0,0.926,9
833,0.97,1,0.926,4
834,-0.7,0,0.926,16
835,-0.56,0,0.926,9
836,-0.66,0,0.926,9
837,-0.62,0,0.926,5
838,-0.57,0,0.926,4
839,-0.65,0,0.926,11
840,-0.65,0,0.926,9
841,-0.6,0,0.926,10
842,-0.61,0,0.926,7
843,-0.62,0,0.926,9
844,-0.84,0,0.925,20
845,-0.65,0,0.925,11
846,-0.63,0,0.925,16
847,-0.69,0,0.925,11
848,-0.68,0,0.925,16
849,-0.61,0,0.925,7
850,-0.64,0,0.925,5
851,-0.53,0,0.925,9
852,-0.59,0,0.925,13
853,-0.5,0,0.925,11
854,-0.65,0,0.925,6
855,-0.59,0,0.925,5
856,-0.51,0,0.925,7
857,-0.49,0,0.925,7
858,-0.79,0,0.924,17
859,-0.59,0,0.924,11
860,-0.56,0,0.924,5
861,-0.73,0,0.924,11
862,-0.82,0,0.924,21
863,-0.68,0,0.924,7
864,-0.69,0,0.924,8
865,-0.53,0,0.924,6
866,-0.67,0,0.924,12
867,-0.85,0,0.924,14
868,-0.52,0,0.924,9
869,-0.89,0,0.923,18
870,-0.48,0,0.923,3
871,-0.58,0,0.923,16
872,-0.67,0,0.923,10
873,-0.67,0,0.923,18
874,-0.5,0,0.923,8
875,-0.62,0,0.923,12
876,-0.51,0,0.923,9
877,-0.64,0,0.923,13
878,-0.66,0,0.923,11
879,-0.61,0,0.923,9
880,-0.53,0,0.923,4
881,-0.61,0,0.922,13
882,-0.61,0,0.922,8
883,-0.53,0,0.922,10
884,0.95,1,0.922,5
885,0.85,1,0.922,13
886,-0.5,0,0.922,6
887,-0.57,0,0.922,7
888,-1.0,0,0.922,36
889,-0.52,0,0.922,7
890,0.86,1,0.922,15
891,-0.76,0,0.921,17
892,-0.53,0,0.921,7
893,-0.59,0,0.921,16
894,0.79,0,0.921,19
895,-0.6,0,0.921,9
896,-0.55,0,0.921,6
897,-0.62,0,0.921,10
898,-0.69,0,0.921,13
899,-0.58,0,0.921,8
900,-0.66,0,0.921,11
901,-0.66,0,0.921,14
902,-0.84,0,0.92,13
903,-0.74,0,0.92,12
904,-0.59,0,0.92,6
905,-0.69,0,0.92,15
906,-0.62,0,0.92,9
907,-0.68,0,0.92,21
908,-0.74,0,0.92,8
