episode,total_reward,win,epsilon,steps
310,-1051.27,0,0.914,17
2018,-1052.18,0,0.474,28
311,-1052.64,0,0.914,29
2019,-1052.56,0,0.474,26
2020,-1052.14,0,0.474,24
312,1043.11,1,0.913,54
313,-1050.86,0,0.913,11
314,-1053.32,0,0.913,37
315,-1051.47,0,0.913,12
2021,1041.54,1,0.473,81
2022,-1050.95,0,0.473,20
316,-1054.52,0,0.912,42
317,-1051.71,0,0.912,16
2023,-1051.5,0,0.473,20
318,-2.96,0,0.912,26
2024,-1051.69,0,0.472,24
319,1047.42,1,0.911,28
320,-1052.79,0,0.911,24
321,-1051.41,0,0.911,16
322,-1052.86,0,0.911,11
323,-1054.16,0,0.91,31
324,-1052.66,0,0.91,26
325,-1054.81,0,0.91,46
326,-1052.11,0,0.91,21
327,-1051.85,0,0.909,20
328,-1051.66,0,0.909,16
329,-1.0,0,0.909,15
330,-1055.01,0,0.908,46
331,-1056.15,0,0.908,50
332,-1052.63,0,0.908,23
333,-1052.32,0,0.908,7
334,-1053.2,0,0.907,30
335,-1052.02,0,0.907,17
336,-1058.21,0,0.907,56
337,-1050.55,0,0.906,5
338,-1050.91,0,0.906,6
339,-1054.13,0,0.906,33
340,-1055.33,0,0.906,48
341,-1052.91,0,0.905,31
342,-1050.22,0,0.905,7
343,-1052.54,0,0.905,29
344,-1053.1,0,0.904,35
345,-1051.96,0,0.904,16
346,-1056.78,0,0.904,43
347,-1053.2,0,0.904,30
348,-1051.12,0,0.903,12
349,-1050.96,0,0.903,6
350,-1055.75,0,0.903,45
351,-1053.32,0,0.903,22
352,-1050.66,0,0.903,6
353,-1050.49,0,0.903,4
2025,1044.71,1,0.472,44
354,-1051.32,0,0.902,12
355,-1052.72,0,0.902,32
2026,1045.47,1,0.472,38
2027,-1052.79,0,0.471,29
356,-1055.16,0,0.902,51
2028,-1051.97,0,0.471,12
357,-1051.91,0,0.901,21
2029,1048.36,1,0.471,24
358,-1051.15,0,0.901,10
2030,1048.77,1,0.471,23
359,-1057.02,0,0.901,47
2031,-1053.88,0,0.47,28
360,-1051.22,0,0.901,12
2032,-1052.24,0,0.47,29
361,-2.77,0,0.9,32
2033,1048.78,1,0.47,12
362,-1051.61,0,0.9,16
363,-1049.85,0,0.9,5
2034,-1051.86,0,0.47,21
364,-1051.27,0,0.9,12
2035,-1051.29,0,0.469,14
365,1046.87,1,0.9,28
2036,1049.28,1,0.469,17
366,-1053.76,0,0.899,31
2037,-1051.94,0,0.469,24
367,-1051.8,0,0.899,20
368,-1052.63,0,0.899,13
2038,-1055.03,0,0.469,48
369,-1053.8,0,0.899,40
2039,-1051.81,0,0.468,21
370,-1050.86,0,0.898,11
2040,-1052.24,0,0.468,19
371,-1052.33,0,0.898,23
372,-1051.35,0,0.898,15
2041,-1057.37,0,0.468,47
373,1042.43,1,0.897,52
374,1045.08,1,0.897,27
375,1047.76,1,0.897,29
2042,-1056.81,0,0.467,81
2043,-1052.58,0,0.467,23
376,-1053.27,0,0.896,37
377,-1051.25,0,0.896,15
2044,-1050.96,0,0.466,16
378,-0.39,0,0.896,4
2045,-1053.52,0,0.466,22
379,-1052.16,0,0.896,21
380,-1053.29,0,0.896,29
2046,-1057.66,0,0.466,56
381,-1053.48,0,0.895,28
2047,-1051.33,0,0.465,13
382,-1055.55,0,0.895,45
2048,-1057.16,0,0.465,46
383,1046.57,1,0.895,33
2049,-1054.36,0,0.465,31
2050,-1053.13,0,0.464,33
2051,1047.93,1,0.464,27
2052,-1051.69,0,0.464,24
2053,1048.19,1,0.463,26
2054,-1052.75,0,0.463,35
2055,-1051.13,0,0.463,23
2056,-1052.65,0,0.463,30
2057,1045.51,1,0.462,34
2058,-1052.68,0,0.462,28
2059,-1052.51,0,0.462,31
2060,-2.24,0,0.461,24
2061,-1052.31,0,0.461,26
2062,-1052.88,0,0.461,33
2063,-1054.59,0,0.46,54
2064,-1052.08,0,0.46,23
2065,-1052.21,0,0.46,21
2066,-1055.94,0,0.459,49
2067,-1050.91,0,0.459,16
2068,-1055.14,0,0.458,39
2069,-1053.01,0,0.458,26
2070,1048.48,1,0.458,22
2071,-1051.75,0,0.458,25
2072,1048.18,1,0.458,22
384,-1053.36,0,0.894,26
385,-1052.68,0,0.894,23
2073,-1054.89,0,0.457,54
386,-1052.64,0,0.894,24
2074,-1050.93,0,0.457,23
387,-1051.74,0,0.894,14
388,-1052.75,0,0.894,20
389,-1053.26,0,0.893,36
2075,-1056.82,0,0.456,62
390,1048.21,1,0.893,24
391,-1052.23,0,0.893,23
392,-1051.16,0,0.893,11
