episode,total_reward,steps,duration,player_hp,enemy_hp,shots,hits,win,epsilon
241,-64.86,1001,166.83,3,2,72,1,0,0.8865
242,1024.08,217,36.17,1,0,18,3,1,0.886
243,-75.51,1001,166.83,3,2,79,1,0,0.8856
244,-1182.64,714,119.0,0,2,56,1,0,0.8851
245,-20.11,1001,166.83,3,1,76,2,0,0.8847
246,-152.31,1001,166.83,2,3,78,0,0,0.8842
247,-1166.23,918,153.0,0,1,69,2,0,0.8838
248,-114.06,1001,166.83,3,3,78,0,0,0.8834
249,1114.73,277,46.17,3,0,19,3,1,0.8829
250,-69.31,1001,166.83,3,2,78,1,0,0.8825
251,-171.21,1001,166.83,2,3,77,0,0,0.882
252,-164.31,1001,166.83,2,3,75,0,0,0.8816
253,-211.36,1001,166.83,1,3,74,0,0,0.8811
254,-1196.24,344,57.33,0,3,27,0,0,0.8807
255,-164.26,1001,166.83,2,3,75,0,0,0.8803
256,-161.31,1001,166.83,2,3,75,0,0,0.8798
257,-73.86,1001,166.83,3,2,78,1,0,0.8794
258,1003.98,432,72.0,1,0,30,3,1,0.8789
259,-159.91,1001,166.83,2,3,71,0,0,0.8785
260,-114.46,1001,166.83,2,2,73,1,0,0.8781
261,981.4,585,97.5,1,0,44,3,1,0.8776
262,-11.71,1001,166.83,3,1,71,2,0,0.8772
263,-68.76,1001,166.83,3,2,78,1,0,0.8768
264,-158.36,1001,166.83,1,2,75,1,0,0.8763
265,-129.21,1001,166.83,3,3,73,0,0,0.8759
266,-1158.52,502,83.67,0,2,38,1,0,0.8754
267,-68.71,1001,166.83,3,2,75,1,0,0.875
268,-1181.09,704,117.33,0,2,53,1,0,0.8746
269,-64.91,1001,166.83,3,2,76,1,0,0.8741
270,-1121.02,572,95.33,0,1,43,2,0,0.8737
271,-117.81,1001,166.83,3,3,74,0,0,0.8732
272,-82.16,1001,166.83,3,2,77,1,0,0.8728
273,-117.01,1001,166.83,3,3,75,0,0,0.8724
274,-111.26,1001,166.83,3,3,76,0,0,0.8719
275,-163.41,1001,166.83,1,2,75,1,0,0.8715
276,-1144.47,812,135.33,0,1,57,2,0,0.8711
277,-121.01,1001,166.83,3,3,76,0,0,0.8706
278,-50.51,1001,166.83,3,2,70,1,0,0.8702
279,-64.36,1001,166.83,3,2,79,1,0,0.8698
280,-217.91,1001,166.83,1,3,77,0,0,0.8693
281,-71.41,1001,166.83,3,2,74,1,0,0.8689
282,-1193.46,741,123.5,0,2,58,1,0,0.8685
283,-185.26,1001,166.83,1,2,74,1,0,0.868
284,-121.36,1001,166.83,3,3,76,0,0,0.8676
285,-120.91,1001,166.83,3,3,76,0,0,0.8672
286,-119.26,1001,166.83,3,3,73,0,0,0.8667
287,-163.41,1001,166.83,2,3,78,0,0,0.8663
288,-1264.42,917,152.83,0,3,66,0,0,0.8659
289,-65.31,1001,166.83,3,2,76,1,0,0.8654
290,-109.21,1001,166.83,3,3,76,0,0,0.865
291,-110.46,1001,166.83,3,3,73,0,0,0.8646
292,-159.91,1001,166.83,2,3,74,0,0,0.8641
293,1103.84,446,74.33,3,0,35,3,1,0.8637
294,-1264.62,967,161.17,0,3,75,0,0,0.8633
295,-161.26,1001,166.83,2,3,74,0,0,0.8628
296,-174.21,1001,166.83,2,3,74,0,0,0.8624
297,-116.56,1001,166.83,2,2,75,1,0,0.862
298,-59.01,1001,166.83,3,2,71,1,0,0.8615
299,1053.55,740,123.33,3,0,56,3,1,0.8611
300,-112.81,1001,166.83,1,1,74,2,0,0.8607
301,-1154.8,455,75.83,0,2,36,1,0,0.8602
302,-117.36,1001,166.83,3,3,73,0,0,0.8598
303,-119.46,1001,166.83,3,3,75,0,0,0.8594
304,1144.0,45,7.5,3,0,4,3,1,0.859
305,-115.71,1001,166.83,3,3,77,0,0,0.8585
306,-107.46,1001,166.83,2,2,76,1,0,0.8581
307,1019.78,227,37.83,1,0,17,3,1,0.8577
308,-61.01,1001,166.83,3,2,73,1,0,0.8572
309,-113.91,1001,166.83,3,3,73,0,0,0.8568
310,-72.01,1001,166.83,3,2,76,1,0,0.8564
311,-223.16,1001,166.83,1,3,74,0,0,0.856
312,-173.06,1001,166.83,2,3,74,0,0,0.8555
313,-166.41,1001,166.83,2,3,74,0,0,0.8551
314,1100.56,424,70.67,3,0,34,3,1,0.8547
