episode,total_reward,steps,duration,player_hp,enemy_hp,shots,hits,epsilon
498,-59.4,1001,166.83,2,3,60,0,0.7795
499,49.38,850,141.67,1,0,59,3,0.7791
500,-59.41,1001,166.83,2,1,60,2,0.7788
501,51.26,817,136.17,1,0,50,3,0.7784
502,-60.0,1001,166.83,2,2,69,1,0.778
503,-59.85,1001,166.83,3,3,66,0,0.7776
504,45.64,904,150.67,1,0,61,3,0.7772
505,77.37,381,63.5,3,0,23,3,0.7768
506,56.37,737,122.83,1,0,51,3,0.7764
507,-59.54,1001,166.83,3,3,63,0,0.776
508,-60.71,1001,166.83,2,2,68,1,0.7756
509,-60.02,1001,166.83,2,3,65,0,0.7753
510,-59.35,1001,166.83,2,1,59,2,0.7749
511,-59.5,1001,166.83,3,1,66,2,0.7745
512,73.85,440,73.33,1,0,30,3,0.7741
513,-59.76,1001,166.83,3,1,67,2,0.7737
514,-59.79,1001,166.83,1,1,58,2,0.7733
515,-59.66,1001,166.83,1,3,68,0,0.7729
516,-59.97,1001,166.83,2,3,65,0,0.7725
517,-58.98,1001,166.83,2,3,62,0,0.7722
518,-59.98,1001,166.83,1,3,66,0,0.7718
519,-59.78,1001,166.83,3,1,66,2,0.7714
520,-59.55,1001,166.83,2,2,66,1,0.771
521,-60.16,1001,166.83,2,2,65,1,0.7706
522,-59.69,1001,166.83,2,2,65,1,0.7702
523,-59.78,1001,166.83,3,3,72,0,0.7698
524,58.47,701,116.83,2,0,42,3,0.7695
525,-59.95,1001,166.83,3,1,72,2,0.7691
526,-142.19,699,116.5,0,3,47,0,0.7687
